community_area,avg_latitude,avg_longitude
1,42.0096,-87.6702
2,42.0016,-87.695
3,41.9656,-87.6556
4,41.9752,-87.6875
5,41.9478,-87.6838
6,41.9441,-87.6552
7,41.9224,-87.6479
8,41.8972,-87.629
9,42.0076,-87.8138
10,41.985,-87.8046
11,41.9788,-87.7712
12,41.9939,-87.7584
13,41.9836,-87.7237
14,41.9681,-87.7215
15,41.954,-87.7634
16,41.9535,-87.7237
17,41.9465,-87.8058
18,41.9293,-87.798
19,41.9273,-87.7655
20,41.9244,-87.7347
21,41.9387,-87.7112
22,41.9227,-87.6989
23,41.9001,-87.7209
24,41.901,-87.6752
25,41.8906,-87.7561
26,41.8786,-87.7302
27,41.8789,-87.7059
28,41.8783,-87.6535
29,41.8602,-87.7172
30,41.8391,-87.7139
31,41.8503,-87.6675
32,41.8806,-87.6265
33,41.8579,-87.619
34,41.8428,-87.6341
35,41.8352,-87.6186
36,41.8237,-87.6024
37,41.8091,-87.6324
38,41.813,-87.6179
39,41.8088,-87.596
40,41.7924,-87.6179
41,41.7939,-87.5921
42,41.7789,-87.5949
43,41.7616,-87.5728
44,41.7402,-87.6161
45,41.7442,-87.5863
46,41.7412,-87.5514
47,41.7282,-87.5965
48,41.7297,-87.5727
49,41.7066,-87.6234
50,41.7061,-87.5983
51,41.6907,-87.5701
52,41.7073,-87.5349
53,41.6738,-87.6357
54,41.6601,-87.6028
55,41.6637,-87.5409
56,41.7902,-87.7629
57,41.8109,-87.7264
58,41.8174,-87.6989
59,41.8309,-87.675
60,41.8362,-87.6488
61,41.809,-87.6592
62,41.793,-87.7242
63,41.7954,-87.6964
64,41.7796,-87.7685
65,41.7698,-87.7269
66,41.772,-87.6956
67,41.7759,-87.6666
68,41.7772,-87.6425
69,41.7632,-87.6161
70,41.7457,-87.7085
71,41.7442,-87.6563
72,41.7132,-87.6751
73,41.7175,-87.6489
74,41.6949,-87.7132
75,41.6897,-87.6691
76,41.9798,-87.909
77,41.9866,-87.6633
